April,May,September,Island,Native,Introduced,Total,% Native,% Introduced,Acres,Hectares,Log Hectares,Distance (m),Log Distance (m),Closest Island,
,,X,Little Oak #2,1,0,1,100,0,0.000254,0.0001,-4,7,0.84509804,Oak,
X,,,Little Sucia Island,69,23,92,75,25,18.9992,7.48,0.873901598,182,2.260071388,Sucia,
X,,X,Low Island,24,15,39,62,38,0.46,0.186234818,-0.729939122,400,2.602059991,,
,X,,Mackaye Harbor Island,16,14,30,53,47,0.3,0.12145749,-0.915575699,20,1.301029996,,
,X,X,Massacre Bay #1 Island,13,9,22,59,41,0.14,0.056680162,-1.246568918,30,1.477121255,,
X,,,Matia Island,112,51,163,69,31,145,57.08661417,1.756534286,4342,3.637689819,Orcas,
X,,,Matia West #1,60,15,75,80,20,2.222,0.8994,-0.046047117,58,1.763427994,Matia,
,X?,,Matia West #2,14,9,23,61,39,0.444,0.18,-0.744727495,18,1.255272505,Matia West #1,
,X,X,McConnell Island,101,44,145,70,30,28.58,11.5708502,1.063365271,880,2.944482672,,
,X,,Near Decatur Island - Unnamed #3,33,14,47,70,30,1.4,0.566801619,-0.246568918,50,1.698970004,,
X,,X,Nob Island,45,22,67,67,33,0.71,0.287449393,-0.541438605,80,1.903089987,,
X,,X,North Finger Island,85,32,117,73,27,35,13.77952756,1.139234328,204,2.309630167,S. Finger,
,X,X,Oak Island,34,25,59,58,42,0.3509,0.142,-0.847711656,140,2.146128036,Orcas,*
X,,X,Pole Island,27,17,44,61,39,0.18,0.072874494,-1.137424448,130,2.113943352,,
X,,X,Posey Island,44,36,80,55,45,1.09,0.441295547,-0.355270455,160,2.204119983,,
,,X,Reef Island,78,28,106,74,26,18.5,7.542,0.877486528,440,2.643452676,Orcas,
,,X,Reeflet Island,23,21,44,52,48,0.1698,0.0687,-1.163043263,15,1.176091259,Reef,*
,X,,Rim Island,25,12,37,68,32,0.5,0.20242915,-0.693726949,160,2.204119983,Decateur,
X,,,Ripple Island,42,17,59,71,29,3.2,1.295546559,0.112453025,220,2.342422681,,
,X,,Rum Island,44,17,61,72,28,1.2,0.48582996,-0.313515707,300,2.477121255,Decateur,
X,X,X,Saddlebag Island,112,48,160,70,30,19.52,7.8996,0.897605101,1100,3.041392685,Guemes,*
X,X,,Secar Rock,7,3,10,70,30,1.14,0.461538462,-0.335792102,270,2.431363764,Charles,
X,,X,Sentinel Island,67,33,100,67,33,16.32,6.607287449,0.820023201,320,2.505149978,,
X,,,Shag Reef,2,0,2,100,0,0.02,0.008097166,-2.091666958,240,2.380211242,,
,X,X,Skull Island,62,39,101,61,39,2.55,1.032388664,0.013843227,80,1.903089987,Orcas,
X,X,,Small Island near Charles,14,4,18,78,22,0.22,0.089068826,-1.050274272,130,2.113943352,Lopez,
X,X,,Smaller Island near Charles,3,0,3,100,0,0.06,0.024291498,-1.614545703,160,2.204119983,Lopez,
,X,,Smallest unnamed island by Long Island,3,6,9,33,67,0.02,0.008097166,-2.091666958,30,1.477121255,Long,
,X,,Swirl Rock East,1,0,1,100,0,0.36,0.145748988,-0.836394452,550,2.740362689,Lopez,
,X,,Swirl Rock Central,16,4,20,80,20,1.2,0.48582996,-0.313515707,430,2.633468456,Lopez,
,X,,Swirl Rock West,4,0,4,100,0,0.1,0.04048583,-1.392696953,400,2.602059991,Lopez,
,X,X,Turn Island,105,49,154,68,32,35.15,13.83858268,1.141091613,300,2.477121255,San Juan,
,X,X,Turnlet Island,24,20,44,55,45,0.2747,0.1112,-0.953895213,70,1.84509804,Turn,*
,X,X,Unnamed #1 near Long Island,32,20,52,62,38,0.87,0.352226721,-0.453177701,20,1.301029996,,
,X,X,Unnamed #2 near Long Island,24,13,37,65,35,1.6,0.647773279,-0.188576971,100,2,Long,
,X,X,Unnamed #3 near Long Island,10,6,16,63,38,0.55,0.222672065,-0.652334264,30,1.477121255,Unnamed #2,
,X,X,Unnamed 72 Island,22,17,39,56,44,0.26,0.105263158,-0.977723605,80,1.903089987,Shaw,
,X,,Unnamed W of Castle,5,1,6,83,17,0.29,0.117408907,-0.930298955,120,2.079181246,,
,X,X,Victim Island,69,31,100,69,31,4.06,1.643724696,0.21582908,110,2.041392685,Orcas,
,,X,Willow Island,61,20,81,75,25,9.76,3.95,0.596597096,278,2.444044796,Blakely,
