"","Total tips with trait","Median (tot)","Min (tot)","Max (tot)","Total native tips with Trait","Median (nat)","Min (nat)","Max (nat)","Total invasive tips with Trait","Median (inv)","Min (inv)","Max (inv)","p.value","conf.int.Lo","conf.int.Hi"
"East_Sucia_6_Island","38","-0.276420984367667","-1.09691001300806","1","27","-0.221848749616356","-1","1","11","-0.305394801066431","-1.09691001300806","0.234083205960986","0.0823159564889366","-0.528860192824737","0.0340285446275431"
"East_Sucia_7_Island","57","-0.243038049012015","-1.09691001300806","1.78632179010849","39","-0.163856802457714","-0.823908740944319","1.78632179010849","18","-0.303212398365206","-1.09691001300806","0.234083205960986","0.00713411605648554","-0.549483424669098","-0.0907296018841037"
"East_Sucia_8_Island","7","-0.293204658229577","-1.09691001300806","0","4","-0.0969100130080564","-0.522878745280338","0","3","-0.522878745280338","-1.09691001300806","-0.293204658229577","0.184593377390847","-1.31206268927346","0.395083130576365"
"Ewing_Island","71","0","-1.09691001300806","1.78632179010849","54","0.0602869656029249","-0.823908740944319","1.78632179010849","17","-0.293204658229577","-1.09691001300806","1.07918124604762","0.0104064888569465","-0.645209042305585","-0.0932439728940657"
"Fawn_Island","62","-0.232443399314186","-1.09691001300806","1.78632179010849","31","-0.0969100130080564","-0.823908740944319","1.78632179010849","31","-0.301029995663981","-1.09691001300806","0.0791812460476248","0.00121449971604253","-0.683030657407264","-0.181159836438182"
"Flat_Top_Island","109","-0.154901959985743","-1.09691001300806","1.78632179010849","71","0","-0.823908740944319","1.78632179010849","38","-0.301029995663981","-1.09691001300806","1.18721465932174","0.000273079146478849","-0.527654387300566","-0.16424689853273"
"Flint_Beach_Island","62","-0.297117326946779","-1.09691001300806","1.78632179010849","45","-0.221848749616356","-0.823908740944319","1.78632179010849","17","-0.335792101488899","-1.09691001300806","0.0791812460476248","0.0316003722768823","-0.449923102332173","-0.0216801207747069"
"Flower_Island","62","-0.0969100130080564","-1.09691001300806","1.78632179010849","42","-0.0228787452803376","-0.78612017908982","1.78632179010849","20","-0.301029995663981","-1.09691001300806","0.477121254719662","0.00474406226629962","-0.584634726665505","-0.110825443101242"
"Fortress_Island","48","-0.276420984367667","-1.09691001300806","1","33","-0.221848749616356","-0.823908740944319","1","15","-0.435747716053123","-1.09691001300806","0.0791812460476248","0.00311866387094072","-0.531469607220141","-0.116465848423498"
"Gossip_Island","56","-0.301029995663981","-1.09691001300806","1.78632179010849","35","-0.0969100130080564","-0.823908740944319","1.78632179010849","21","-0.376353803172687","-1.09691001300806","0.0791812460476248","0.000873387692508669","-0.610963300597715","-0.168272757287112"
"Hat_Island","96","-0.154901959985743","-1.09691001300806","1.83614319735228","66","-0.0969100130080564","-0.823908740944319","1.83614319735228","30","-0.301029995663981","-1.09691001300806","0.914569804660268","0.00138104947658983","-0.503735548734631","-0.125671626240174"
"Huckleberry_Island","104","-0.18837535480105","-1.09691001300806","1.83614319735228","70","-0.0969100130080564","-0.823908740944319","1.83614319735228","34","-0.297117326946779","-1.09691001300806","1.07918124604762","0.0182130055383564","-0.468285912909415","-0.0446845443610867"
"Iceberg_Island","45","-0.259637310505756","-1.09691001300806","1","26","-0.221848749616356","-0.823908740944319","1","19","-0.301029995663981","-1.09691001300806","0.0791812460476248","0.054262456329666","-0.419821256385929","0.00397985429159411"
"Little_Cactus","33","-0.301029995663981","-1.09691001300806","0.477121254719662","23","-0.221848749616356","-0.823908740944319","0.477121254719662","10","-0.338691899418334","-1.09691001300806","-0.259637310505756","0.0578332354433674","-0.429223599925929","0.00768418372798608"
"Little_McConnell_Island","70","-0.276420984367667","-1.09691001300806","1.78632179010849","39","-0.221848749616356","-0.823908740944319","1.78632179010849","31","-0.305394801066431","-1.09691001300806","0.234083205960986","0.0103593089736149","-0.508572318121816","-0.070995023036733"
"Little_Nob","9","-0.0969100130080564","-0.619788758288394","0.255272505103306","7","-0.0969100130080564","-0.455931955649724","0.255272505103306","2","-0.577110532320356","-0.619788758288394","-0.534432306352317","0.00212681714981633","-0.705610598102273","-0.236819905742099"
"Little_Oak","13","-0.335792101488899","-1.09691001300806","0.0791812460476248","6","-0.366866055080468","-0.602059991327962","-0.0969100130080564","7","-0.305394801066431","-1.09691001300806","0.0791812460476248","0.541463488009193","-0.486577445475737","0.272296015403506"
"Little_Sucia_Island","75","0","-1.09691001300806","1.83614319735228","54","0.176091259055681","-0.602059991327962","1.83614319735228","21","-0.301029995663981","-1.09691001300806","1.07918124604762","0.000113218354495154","-0.7555067588636","-0.264365621646432"
"Low_Island","35","-0.243038049012015","-0.823908740944319","0.477121254719662","20","-0.0484550065040282","-0.823908740944319","0.477121254719662","15","-0.301029995663981","-0.619788758288394","0.0791812460476248","0.314641912443096","-0.343480556691325","0.114332141535909"
"Mackaye_Harbor_Island","25","-0.301029995663981","-1.09691001300806","0.477121254719662","12","-0.366866055080468","-0.619788758288394","0.477121254719662","13","-0.293204658229577","-1.09691001300806","-0.0457574905606751","0.404173216981041","-0.375381545396825","0.156901669109261"
"Massacre_Bay__1_Island","16","-0.221848749616356","-0.619788758288394","0.0791812460476248","8","-0.18837535480105","-0.602059991327962","0","8","-0.232443399314186","-0.619788758288394","0.0791812460476248","0.846223923006809","-0.205152127194427","0.246712353762923"
"Matia_Island","125","-0.0969100130080564","-1.28254659033188","1.83614319735228","85","0.0791812460476248","-0.823908740944319","1.83614319735228","40","-0.301029995663981","-1.28254659033188","1.18721465932174","0.000100518409796152","-0.647176592850756","-0.22196577379853"
"Matia_West__1","60","-0.0457574905606751","-1.09691001300806","1.83614319735228","47","0.176091259055681","-1","1.83614319735228","13","-0.435747716053123","-1.09691001300806","0.0791812460476248","4.96604031868591e-06","-0.953175550676795","-0.415717467676572"
"Matia_West__2","21","-0.293204658229577","-1.09691001300806","1","13","-0.0969100130080564","-0.602059991327962","1","8","-0.522878745280338","-1.09691001300806","0.0791812460476248","0.00687391042500271","-0.925608095001593","-0.169681930777205"
"McConnell_Island","115","-0.221848749616356","-1.09691001300806","1.83614319735228","75","0","-0.823908740944319","1.83614319735228","40","-0.301029995663981","-1.09691001300806","1.18721465932174","0.00118838940571071","-0.518809851185743","-0.131758126170066"
"Near_Decatur_Island___Unnamed__3","38","-0.232443399314186","-1.09691001300806","1.78632179010849","25","-0.0969100130080564","-0.619788758288394","1.78632179010849","13","-0.360903365348815","-1.09691001300806","-0.154901959985743","0.00106617783242275","-0.712423140568946","-0.195357705903349"
"Nob_Island","54","-0.221848749616356","-1.09691001300806","1.78632179010849","34","-0.154901959985743","-0.823908740944319","1.78632179010849","20","-0.301029995663981","-1.09691001300806","0.0791812460476248","0.00411891930106593","-0.599386752783427","-0.119312262696321"
"North_Finger_Island","88","-0.0751771661950638","-1.09691001300806","1.83614319735228","62","0","-0.619788758288394","1.83614319735228","26","-0.198970004227445","-1.09691001300806","0.234083205960986","0.00118446956551667","-0.470371571522697","-0.120534093761031"
"Oak_Island","47","-0.301029995663981","-1.09691001300806","1.78632179010849","24","-0.0969100130080564","-0.619788758288394","1.78632179010849","23","-0.335792101488899","-1.09691001300806","0.0791812460476248","0.00385361867618561","-0.712742158846124","-0.14984518119911"
"Pole_Island","35","-0.305394801066431","-1.09691001300806","0.653212513775344","20","-0.216351057248478","-0.619788758288394","0.653212513775344","15","-0.305394801066431","-1.09691001300806","0.0791812460476248","0.0562067794640533","-0.482739567339393","0.00667469187636245"
"Posey_Island","67","-0.301029995663981","-1.28254659033188","1.78632179010849","36","-0.159379381312206","-0.698970004336019","1.78632179010849","31","-0.335792101488899","-1.28254659033188","0.234083205960986","0.000272633590495861","-0.671733093297684","-0.21527012302223"
"Reef_Island","78","-0.0969100130080564","-1.09691001300806","1.83614319735228","53","0","-0.823908740944319","1.83614319735228","25","-0.259637310505756","-1.09691001300806","0.234083205960986","0.000165935451329676","-0.617663628263194","-0.204463712066083"
"Reeflet_Island","30","-0.276420984367667","-1.09691001300806","0.602059991327962","14","-0.159379381312206","-0.698970004336019","0.602059991327962","16","-0.297117326946779","-1.09691001300806","0.124938736499726","0.205294925270419","-0.457059527860681","0.103271420091258"
"Rim_Island","32","-0.276420984367667","-1.09691001300806","1.07918124604762","21","-0.221848749616356","-0.619788758288394","1.07918124604762","11","-0.301029995663981","-1.09691001300806","0.0791812460476248","0.0398370358716767","-0.595456062262705","-0.0152211563030349"
"Ripple_Island","47","-0.259637310505756","-0.619788758288394","1.20445727863884","32","-0.130383407732885","-0.619788758288394","1.20445727863884","15","-0.335792101488899","-0.616854022350748","0.0791812460476248","0.00132289344019842","-0.532216030230885","-0.138132122724664"
"Rum_Island","53","-0.221848749616356","-1.09691001300806","1.83614319735228","37","-0.0969100130080564","-0.698970004336019","1.83614319735228","16","-0.344605083571686","-1.09691001300806","0.0791812460476248","0.000271105584725649","-0.77435839535771","-0.249395218759093"
"Saddlebag_Island","126","-0.0969100130080564","-1.28254659033188","1.83614319735228","82","-0.0457574905606751","-0.823908740944319","1.83614319735228","44","-0.276420984367667","-1.28254659033188","1.07918124604762","0.00474203023064234","-0.451956680710981","-0.0837063534413017"
"Secar_Rock","7","-0.346787486224656","-0.534432306352317","0","4","-0.221848749616356","-0.397940008672038","0","3","-0.346787486224656","-0.534432306352317","-0.301029995663981","0.186162182833241","-0.492290662974938","0.124942891433344"
"Sentinel_Island","79","-0.221848749616356","-1.09691001300806","1.78632179010849","51","-0.0969100130080564","-0.823908740944319","1.78632179010849","28","-0.301029995663981","-1.09691001300806","0.234083205960986","0.000146561353736212","-0.581291639183358","-0.194720506487051"
"Skull_Island","79","-0.221848749616356","-1.09691001300806","1.78632179010849","42","-0.1259059864969","-1","1.78632179010849","37","-0.301029995663981","-1.09691001300806","1.17609125905568","0.0456630325532776","-0.481996791028786","-0.0048191404904512"
"Small_Island_near_Charles","16","-0.301029995663981","-0.619788758288394","0.477121254719662","13","-0.301029995663981","-0.619788758288394","0.477121254719662","3","-0.301029995663981","-0.619788758288394","-0.301029995663981","0.246128358793059","-0.526730279700378","0.1714941945938"
"Swirl_Rock_Central","19","-0.301029995663981","-0.619788758288394","0.176091259055681","15","-0.335792101488899","-0.619788758288394","0.176091259055681","4","-0.297117326946779","-0.619788758288394","0.0791812460476248","0.949728861440688","-0.414434312278472","0.435228175089139"
"Turn_Island","124","-0.154901959985743","-1.28254659033188","1.83614319735228","79","0","-1","1.83614319735228","45","-0.301029995663981","-1.28254659033188","0.914569804660268","0.000613655244115721","-0.537692757600085","-0.150463363294167"
"Turnlet_Island","39","-0.221848749616356","-1.09691001300806","1.78632179010849","20","-0.0969100130080564","-0.823908740944319","1.78632179010849","19","-0.301029995663981","-1.09691001300806","0.0791812460476248","0.0431903280820699","-0.589233139979116","-0.00981209122979322"
"Unnamed__1_near_Long_Island","40","-0.341289793856777","-1.09691001300806","0.462880815537495","23","-0.301029995663981","-0.823908740944319","0.462880815537495","17","-0.435747716053123","-1.09691001300806","0.234083205960986","0.271960753256434","-0.346958208245181","0.100775920787484"
"Unnamed__2_near_Long_Island","32","-0.301029995663981","-0.823908740944319","0.397940008672038","20","-0.31841104857644","-0.823908740944319","0.397940008672038","12","-0.297117326946779","-0.619788758288394","0.234083205960986","0.728311472173746","-0.17082313369968","0.240965903728052"
"Unnamed__3_near_Long_Island","12","-0.301029995663981","-0.534432306352317","0.0791812460476248","6","-0.323908740944319","-0.397940008672038","-0.0969100130080564","6","-0.150514997831991","-0.534432306352317","0.0791812460476248","0.651241626057237","-0.236710275822318","0.356162850488922"
"Unnamed_72_Island","34","-0.330966680506398","-1.09691001300806","0.653212513775344","18","-0.247425010840047","-0.698970004336019","0.653212513775344","16","-0.330966680506398","-1.09691001300806","0.0232041769880808","0.0727461793555901","-0.489552817175933","0.0228897435644565"
"Unnamed_west_of_Castle_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Victim_Island","81","-0.221848749616356","-1.09691001300806","1.39794000867204","51","-0.163856802457714","-0.823908740944319","1.39794000867204","30","-0.297117326946779","-1.09691001300806","0.623772008848288","0.0186823155527284","-0.411799927280032","-0.0385960869027637"
"Willow_Island","63","-0.0969100130080564","-1.09691001300806","1.78632179010849","44","-0.0484550065040282","-0.823908740944319","1.78632179010849","19","-0.293204658229577","-1.09691001300806","0.234083205960986","0.00160508046849985","-0.649085598996485","-0.160537880094271"
"Yellow_Island","144","-0.221848749616356","-1.28254659033188","1.83614319735228","87","-0.176091258838534","-0.823908740944319","1.83614319735228","57","-0.301029995663981","-1.28254659033188","1.07918124604762","0.0119992517065735","-0.359869110782488","-0.0452134071426869"
