,Mean DNNS natives,Mean DNNS invasives,n.native.tips,n.invasive.tips,t.DNNS.p.value,t.DNNS.conf.int.Lo,t.DNNS.conf.int.Hi,mean MPD nat_nat,mean MPD inv_nat,t.MPD.p.value,t.MPD.conf.int.Lo,t.MPD.conf.int.Hi
Rum_Island,126.0515515,63.91756256,41,16,0.080311501,-7.759867482,132.0278453,373.6908221,331.5608646,0.136451077,-13.83210428,98.09201924
Saddlebag_Island,85.48921058,53.02768344,93,48,0.057971522,-1.113218678,66.03627296,393.7087873,340.1159077,0.002924907,18.73998824,88.44577104
Secar_Rock,147.1530187,91.94316767,6,3,0.555282532,-193.2459494,303.6656514,314.5252943,273.9077126,0.135967155,-22.79991218,104.0350756
Sentinel_Island,116.0556965,59.80060091,58,32,0.043470119,1.69265307,110.8175382,370.4507419,333.3423231,0.127354971,-10.87072459,85.08756222
Skull_Island,152.8162588,63.19664432,46,38,0.017659198,16.25237483,162.9868542,375.7551321,334.1197671,0.122956701,-11.67843726,94.9491673
Small_Island_near_Charles,163.2374038,96.691022,13,3,0.44790836,-206.8714323,339.9641959,296.0513774,285.8956881,0.726114285,-77.1424639,97.45384241
Swirl_Rock_Central,95.94115506,91.458001,16,4,0.93914063,-148.7853596,157.7516677,292.9461759,275.4547955,0.152549353,-10.34529217,45.32805296
Turn_Island,90.40474378,47.36425874,91,47,0.01353338,9.030876701,77.05009337,388.3474198,338.6666752,0.005898627,14.64868686,84.71280234
Turnlet_Island,185.5633663,69.79265315,22,20,0.025079129,15.68674903,215.8546773,382.0516881,329.7673348,0.108544741,-12.55141467,117.1201214
Unnamed__1_near_Long_Island,113.7359742,62.72021126,28,19,0.013391321,11.11348635,90.91803955,288.9650369,284.4716864,0.665558882,-16.3310524,25.31775347
Unnamed__2_near_Long_Island,131.4425866,78.38349331,21,13,0.062587262,-2.993261534,109.1114481,304.5026283,288.3400732,0.011813604,3.861273412,28.46383678
Unnamed__3_near_Long_Island,138.5932988,65.76430667,8,6,0.113020254,-20.02695748,165.6849416,301.0847893,266.7706235,0.01183197,9.090387883,59.53794384
Unnamed_72_Island,124.5461855,53.79316141,19,17,0.001409259,29.4298611,112.0761871,293.0721448,284.2381373,0.230343463,-5.872046206,23.54006116
Unnamed_west_of_Castle_Island,269.276636,94.353046,4,1,NA,NA,NA,308.5775983,235.7323265,NA,NA,NA
Victim_Island,101.7469932,57.12172026,58,31,0.080319952,-5.515972089,94.76651795,356.5880639,324.9052703,0.179072381,-14.89417027,78.25975761
Willow_Island,127.3680406,63.38463785,50,20,0.031395698,5.891358021,122.0754475,439.0105165,377.0152891,0.041516926,2.467068241,121.5233866
Yellow_Island,83.44285474,53.95145684,102,67,0.064757714,-1.829144679,60.81194048,360.040814,320.850661,0.014354191,7.965775486,70.41453067
