Row.names,Area.m2,Size.cat,Total.native.species,Total.invasive.species,Total.species,Total.native.tips,Total.invasive.tips,Total.tips,Percent.native.species,Percent.invasive.species,Percent.native.tips,Percent.invasive.tips
Little_McConnell_Island,5425.10121,med,53,35,88,46,33,79,0.602272727,0.397727273,0.582278481,0.417721519
Near_Decatur_Island___Unnamed__3,5668.01619,med,32,14,46,28,14,42,0.695652174,0.304347826,0.666666667,0.333333333
East_Sucia_7_Island,6400,med,51,20,71,42,20,62,0.718309859,0.281690141,0.677419355,0.322580645
Unnamed__2_near_Long_Island,6477.73279,med,24,13,37,21,13,34,0.648648649,0.351351351,0.617647059,0.382352941
Blind_Island,7368.42105,med,50,15,65,45,15,60,0.769230769,0.230769231,0.75,0.25
Gossip_Island,8582.99595,med,46,25,71,42,24,66,0.647887324,0.352112676,0.636363636,0.363636364
Matia_West__1,8994,med,59,15,74,52,15,67,0.797297297,0.202702703,0.776119403,0.223880597
Fortress_Island,9311.74089,med,41,16,57,36,16,52,0.719298246,0.280701754,0.692307692,0.307692308
Battleship_Island,10000,med,58,28,86,50,26,76,0.674418605,0.325581395,0.657894737,0.342105263
Skull_Island,10323.88664,med,59,40,99,46,38,84,0.595959596,0.404040404,0.547619048,0.452380952
Flint_Beach_Island,11336.03239,med,59,20,79,52,19,71,0.746835443,0.253164557,0.732394366,0.267605634
Barren_Island,12145.74899,med,31,18,49,27,18,45,0.632653061,0.367346939,0.6,0.4
Coon_Island,12186.23482,med,60,38,98,50,37,87,0.612244898,0.387755102,0.574712644,0.425287356
Fawn_Island,12348.17814,med,41,32,73,36,32,68,0.561643836,0.438356164,0.529411765,0.470588235
Iceberg_Island,12955.46559,med,41,22,63,33,21,54,0.650793651,0.349206349,0.611111111,0.388888889
Ripple_Island,12955.46559,med,40,17,57,35,17,52,0.701754386,0.298245614,0.673076923,0.326923077
Deadman_Island,13441.29555,med,51,22,73,47,21,68,0.698630137,0.301369863,0.691176471,0.308823529
Dot_Island,14485,med,66,27,93,56,27,83,0.709677419,0.290322581,0.674698795,0.325301205
Aleck_Rock,14898.78543,med,59,22,81,54,22,76,0.728395062,0.271604938,0.710526316,0.289473684
Victim_Island,16437.24696,med,66,31,97,58,31,89,0.680412371,0.319587629,0.651685393,0.348314607
Flower_Island,18110.23622,med,54,24,78,48,22,70,0.692307692,0.307692308,0.685714286,0.314285714
Boulder_Island,25546.5587,med,65,24,89,58,24,82,0.730337079,0.269662921,0.707317073,0.292682927
Castle_Island,34008.09717,lg,92,29,121,82,26,108,0.760330579,0.239669421,0.759259259,0.240740741
Willow_Island,39500,lg,61,20,81,50,20,70,0.75308642,0.24691358,0.714285714,0.285714286
Yellow_Island,44515.421,lg,116,68,184,102,67,169,0.630434783,0.369565217,0.603550296,0.396449704
Colville_Island,45546.5587,lg,26,23,49,22,21,43,0.530612245,0.469387755,0.511627907,0.488372093
Huckleberry_Island,51778,lg,87,37,124,76,35,111,0.701612903,0.298387097,0.684684685,0.315315315
Cliff_Island,60404.8583,lg,81,34,115,70,33,103,0.704347826,0.295652174,0.67961165,0.32038835
Sentinel_Island,66072.87449,lg,66,32,98,58,32,90,0.673469388,0.326530612,0.644444444,0.355555556
Ewing_Island,74700,lg,68,18,86,59,18,77,0.790697674,0.209302326,0.766233766,0.233766234
Little_Sucia_Island,74800,lg,68,23,91,58,23,81,0.747252747,0.252747253,0.716049383,0.283950617
Reef_Island,75420,lg,78,27,105,66,27,93,0.742857143,0.257142857,0.709677419,0.290322581
Saddlebag_Island,78996,lg,106,49,155,93,48,141,0.683870968,0.316129032,0.659574468,0.340425532
McConnell_Island,115708.502,lg,100,43,143,87,42,129,0.699300699,0.300699301,0.674418605,0.325581395
North_Finger_Island,137795.2756,lg,85,31,116,72,29,101,0.732758621,0.267241379,0.712871287,0.287128713
Turn_Island,138385.8268,lg,103,49,152,91,47,138,0.677631579,0.322368421,0.65942029,0.34057971
Charles_Island,143319.8381,lg,77,44,121,71,42,113,0.636363636,0.363636364,0.628318584,0.371681416
Flat_Top_Island,198380.5668,lg,90,45,135,80,40,120,0.666666667,0.333333333,0.666666667,0.333333333
Hat_Island,458197,lg,83,32,115,77,32,109,0.72173913,0.27826087,0.706422018,0.293577982
Matia_Island,570866.1417,lg,107,49,156,97,46,143,0.685897436,0.314102564,0.678321678,0.321678322
All_SanJuanIslands,2725784.934,lg,265,150,415,226,140,366,0.638554217,0.361445783,0.617486339,0.382513661
